id,display_name_en,description_text_en,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url,status,last modified,original file URL,AATID,EFTID
CC00180,pencil skirt,a tailored skirt hanging straight from the hips and fitted from the waist to the hips by means of darts or a yoke; may have a vent or kick-pleat set in the hem for ease of walking,Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Skirt&oldid=826503853,https://dressdiscover.org/img/worksheet/full_size/328px-Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,https://dressdiscover.org/img/worksheet/thumbnail/328px-Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,full_size/328px-Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,thumbnail/328px-Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,Léon Bakst,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,uploaded,,,300411738,
CC00176,peplum,"Short, skirtlike sections of a costume attached at the waistline, such as on a bodice or jacket, and usually extending to cover the hips.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=peplum&logic=AND&note=&english=N&prev_page=1&subjectid=300248709,https://dressdiscover.org/img/worksheet/full_size/429px-Peplum.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Peplum.jpg,full_size/429px-Peplum.jpg,thumbnail/429px-Peplum.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Peplum.jpg,uploaded,,,300248709,
CC00136,petal,,,,,,,,,,,,,,incomplete,,,,
CC00040,Peter Pan collar,,,,,,https://dressdiscover.org/img/worksheet/full_size/429px-Peter_Pan_collar.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Peter_Pan_collar.jpg,full_size/429px-Peter_Pan_collar.jpg,thumbnail/429px-Peter_Pan_collar.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Peter_Pan_collar.jpg,uploaded,,,,
CC00093,piecing,Joining small pieces of cloth together with a seam to form an overall pattern.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300231250,
CC00114,pinafore,,,,,,https://dressdiscover.org/img/worksheet/full_size/Child_and_Doll.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Child_and_Doll.jpg,full_size/Child_and_Doll.jpg,thumbnail/Child_and_Doll.jpg,"Lillybridge, Charles S., 1849-1935",Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Child_and_Doll.jpg,new,43472,https://upload.wikimedia.org/wikipedia/commons/c/cd/Child_and_Doll.jpg,,
CC00065,pink,"Hue name for the range of colors intermediate between red and white, often a pale red, sometimes with a slight purple or yellow tinge. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,https://dressdiscover.org/img/worksheet/full_size/Shades_of_pink.png,https://dressdiscover.org/img/worksheet/thumbnail/Shades_of_pink.jpg,full_size/Shades_of_pink.png,thumbnail/Shades_of_pink.jpg,Wikimedia user Gabriela Ruellan,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Shades_of_pink.png,new,43470,https://upload.wikimedia.org/wikipedia/commons/2/20/Shades_of_pink.png,300124707,
CC00094,piping,"Tubular strip of textile, usually bias-cut, which may or may not enclose a cord, used for trimming the edges and seams of costume, coverings, and hangings. May be of matching or contrasting fabric, sometimes also in leather.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300232162,
CC00231,plain weave,"Textile in which warp/weft pathways are over/under every other thread. Tabby weave textiles are woven by a method based on a unit of two ends and two picks, in which each end passes over one and under one pick; the binding points are set over one end on successive picks.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300227906,
CC00232,plastic,"A general term for any of a large and varied class of natural or synthetic organic materials that can be molded, extruded, or cast when soft or liquid, and then set into a rigid or slightly elastic form. Natural plastics include tree resins, beeswax, gutta-percha, horn, and clay. Synthetic plastics were first made in the 19th century. Plastics are used widely in manufacturing.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300014570,
