Feature name,Feature value,Credit line,License,Thumbnail URL,Full-size image URL,Metadata URL
Structure Sleeves,batwing,"Drawing made by David Ring for the Europeana Fashion project (www.europeanafashion.eu). The drawing was commissioned to represent a concept in Europeana Fashionâ€™s visual fashion thesaurus which was developed under the coordination of the Royal Museums of Art and History, Brussels. David Ring created the drawings in the library of MoMu â€“ Fashion Museum Province of Antwerp and this is also where they are currently kept. ",CC0,https://upload.wikimedia.org/wikipedia/commons/5/55/Batwing_sleeve.jpg,,https://commons.wikimedia.org/wiki/File:Batwing_sleeve.jpg
Structure Sleeves,bell,,,,,
Structure Sleeves,bishop,bishops sleeve pattern from http://vintagesewing.info/1940s/42-mpd/mpd-04.html,Public domain,https://upload.wikimedia.org/wikipedia/commons/7/7e/Bishops_sleeve.jpg,,https://commons.wikimedia.org/wiki/File:Bishops_sleeve.jpg
Structure Sleeves,block/straight,,,,,
Structure Sleeves,camisole straps,,,,,
Structure Sleeves,cap,,,,,
Structure Sleeves,cowl,,,,,
Structure Sleeves,criss-cross straps,,,,,
Structure Sleeves,dolman,,,,,
Structure Sleeves,elbow dart,,,,,
Structure Sleeves,elbow gathers,,,,,
Structure Sleeves,elbow length,,,,,
Structure Sleeves,extra long,,,,,
Structure Sleeves,fitted,,,,,
Structure Sleeves,hanging,,,,,
Structure Sleeves,kimono,,,,,
Structure Sleeves,lantern,,,,,
Structure Sleeves,layered,,,,,
Structure Sleeves,leg-o-mutton,,,,,
Structure Sleeves,long,,,,,
Structure Sleeves,petal,,,,,
Structure Sleeves,puff,,,,,
Structure Sleeves,racerback straps,,,,,
Structure Sleeves,raglan,,,,,
Structure Sleeves,roll-up,,,,,
Structure Sleeves,sections/panes,,,,,
Structure Sleeves,shirt,,,,,
Structure Sleeves,short,,,,,
Structure Sleeves,spaghetti/camisole straps,,,,,
Structure Sleeves,strapless,,,,,
Structure Sleeves,tank,,,,,
Structure Sleeves,three-quarter length,,,,,
Structure Sleeves,wide straps,,,,,
,,,,,,
Structure Torso,1 dart,,,,,
Structure Torso,2 darts,,,,,
Structure Torso,3 darts,,,,,
Structure Torso,4 darts,,,,,
Structure Torso,5 darts,,,,,
Structure Torso,6 darts,,,,,
Structure Torso,7 or more darts,,,,,
Structure Torso,back yoke,,,,,
Structure Torso,back yoke with gathers,,,,,
Structure Torso,bloused front (pigeon breast),,,,,
Structure Torso,bust darts,,,,,
